Rank,Team,Latest results,Upcoming matches,Points
65,Bosnia and Herzegovina,Friendly 202512 October 2025Malta1Bosnia and Herzegovina412 October 2025FIFA World Cup 26™ UEFA QualifiersGroup H15 November 2025Bosnia and Herzegovina3Romania115 November 2025FIFA World Cup 26™ UEFA QualifiersGroup H18 November 2025Austria1Bosnia and Herzegovina118 November 2025FIFA World Cup 26™ UEFA QualifiersPath A – Semi-final26 March 2026Wales1(2)Bosnia and HerzegovinaWon 4 - 2 On Penalties1(4)26 March 2026FIFA World Cup 26™ UEFA QualifiersPath A – Final31 March 2026Bosnia and HerzegovinaWon 4 - 1 On Penalties1(4)Italy1(1)31 March 2026,Bosnia and HerzegovinaNorth Macedonia29 May18:30,1385.84
66,Honduras,FIFA World Cup 26™ Concacaf QualifiersGroup C10 October 2025Honduras0Costa Rica010 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup C14 October 2025Honduras3Haiti014 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup C14 November 2025Nicaragua2Honduras014 November 2025FIFA World Cup 26™ Concacaf QualifiersGroup C19 November 2025Costa Rica0Honduras019 November 2025Friendly 202631 March 2026Peru2Honduras231 March 2026,ArgentinaHonduras07 Jun00:00,1380.27
67,North Macedonia,FIFA World Cup 26™ UEFA QualifiersGroup J13 October 2025North Macedonia1Kazakhstan113 October 2025Friendly 202513 November 2025North Macedonia0Latvia013 November 2025FIFA World Cup 26™ UEFA QualifiersGroup J18 November 2025Wales7North Macedonia118 November 2025FIFA World Cup 26™ UEFA QualifiersPath D – Semi-final26 March 2026Denmark4North Macedonia026 March 2026Friendly 202631 March 2026Republic of Ireland0North Macedonia031 March 2026,Bosnia and HerzegovinaNorth Macedonia29 May18:30,1372.04
68,United Arab Emirates,FIFA Arab Cup Qatar 2025™Group C06 December 2025United Arab Emirates1Egypt106 December 2025FIFA Arab Cup Qatar 2025™Group C09 December 2025United Arab Emirates3Kuwait109 December 2025FIFA Arab Cup Qatar 2025™Quarter-final12 December 2025Algeria1(6)United Arab EmiratesWon 7 - 6 On Penalties1(7)12 December 2025FIFA Arab Cup Qatar 2025™Semi-final15 December 2025Morocco3United Arab Emirates015 December 2025FIFA Arab Cup Qatar 2025™Match for third placeAbandonedSaudi ArabiaUnited Arab EmiratesAbandoned,,1370.47
69,Cabo Verde,FIFA World Cup 26™ CAF QualifiersGroup D13 October 2025Cabo Verde3Eswatini013 October 2025Al Ain International Cup 2025Semi-final13 November 2025IR IranWon 5 - 4 On Penalties0(5)Cabo Verde0(4)13 November 2025Al Ain International Cup 2025Match for third place17 November 2025Cabo Verde1(0)EgyptWon 2 - 0 On Penalties1(2)17 November 2025FIFA Series 2026™ New ZealandPre-arranged fixture27 March 2026Chile4Cabo Verde227 March 2026FIFA Series 2026™ New ZealandPre-arranged fixture30 March 2026Cabo Verde1Finland130 March 2026,Cabo VerdeSerbia31 May14:30,1366.13
70,Northern Ireland,FIFA World Cup 26™ UEFA QualifiersGroup A13 October 2025Northern Ireland0Germany113 October 2025FIFA World Cup 26™ UEFA QualifiersGroup A14 November 2025Slovakia1Northern Ireland014 November 2025FIFA World Cup 26™ UEFA QualifiersGroup A17 November 2025Northern Ireland1Luxembourg017 November 2025FIFA World Cup 26™ UEFA QualifiersPath A – Semi-final26 March 2026Italy2Northern Ireland026 March 2026Friendly 202631 March 2026Wales1Northern Ireland131 March 2026,Northern IrelandGuinea04 Jun16:00,1362.16
71,Jamaica,FIFA World Cup 26™ Concacaf QualifiersGroup B14 November 2025Trinidad and Tobago1Jamaica114 November 2025FIFA World Cup 26™ Concacaf QualifiersGroup B19 November 2025Jamaica0Curaçao019 November 2025FIFA World Cup 2026™ Play-Off TournamentPath A – Semi-final27 March 2026New Caledonia0Jamaica127 March 2026FIFA World Cup 2026™ Play-Off TournamentPath A - Final31 March 2026Congo DR1Jamaica031 March 2026The Unity Cup 2026Semi-final27 May 2026Jamaica2India027 May 2026,NigeriaJamaica30 May18:30,1358.00*
72,Georgia,FIFA World Cup 26™ UEFA QualifiersGroup E14 October 2025Türkiye4Georgia114 October 2025FIFA World Cup 26™ UEFA QualifiersGroup E15 November 2025Georgia0Spain415 November 2025FIFA World Cup 26™ UEFA QualifiersGroup E18 November 2025Bulgaria2Georgia118 November 2025Friendly 202626 March 2026Georgia2Israel226 March 2026Friendly 202629 March 2026Lithuania0Georgia229 March 2026,GeorgiaRomania02 Jun17:00,1350.18
73,Finland,FIFA World Cup 26™ UEFA QualifiersGroup G12 October 2025Netherlands4Finland012 October 2025FIFA World Cup 26™ UEFA QualifiersGroup G14 November 2025Finland0Malta114 November 2025Friendly 202517 November 2025Finland4Andorra017 November 2025FIFA Series 2026™ New ZealandPre-arranged fixture27 March 2026New Zealand0Finland227 March 2026FIFA Series 2026™ New ZealandPre-arranged fixture30 March 2026Cabo Verde1Finland130 March 2026,HungaryFinland05 Jun17:45,1346.41
74,Ghana,Friendly 202514 November 2025Japan2Ghana014 November 2025Friendly 202518 November 2025Korea Republic1Ghana018 November 2025Friendly 202627 March 2026Austria5Ghana127 March 2026Friendly 202630 March 2026Germany2Ghana130 March 2026Friendly 202623 May 2026Mexico2Ghana023 May 2026,WalesGhana02 Jun18:45,1346.31*
75,Iceland,FIFA World Cup 26™ UEFA QualifiersGroup D13 November 2025Azerbaijan0Iceland213 November 2025FIFA World Cup 26™ UEFA QualifiersGroup D16 November 2025Ukraine2Iceland016 November 2025Friendly 202626 February 2026Mexico4Iceland026 February 2026Friendly 202628 March 2026Canada2Iceland228 March 2026Friendly 202631 March 2026Haiti1Iceland131 March 2026,JapanIceland31 May10:25,1345.07
76,Bolivia,Friendly 202618 January 2026Bolivia1Panama118 January 2026Friendly 202625 January 2026Bolivia0Mexico125 January 2026Friendly 202615 March 2026Bolivia3Trinidad and Tobago015 March 2026FIFA World Cup 2026™ Play-Off TournamentPath B – Semi-final26 March 2026Bolivia2Suriname126 March 2026FIFA World Cup 2026™ Play-Off TournamentPath B - Final01 April 2026Iraq2Bolivia101 April 2026,,1329.42
77,Israel,FIFA World Cup 26™ UEFA QualifiersGroup I11 October 2025Norway5Israel011 October 2025FIFA World Cup 26™ UEFA QualifiersGroup I14 October 2025Italy3Israel014 October 2025Friendly 202513 November 2025Lithuania0Israel013 November 2025FIFA World Cup 26™ UEFA QualifiersGroup I16 November 2025Israel4Moldova116 November 2025Friendly 202626 March 2026Georgia2Israel226 March 2026,,1328.33
78,Kosovo,FIFA World Cup 26™ UEFA QualifiersGroup B13 October 2025Sweden0Kosovo113 October 2025FIFA World Cup 26™ UEFA QualifiersGroup B15 November 2025Slovenia0Kosovo215 November 2025FIFA World Cup 26™ UEFA QualifiersGroup B18 November 2025Kosovo1Switzerland118 November 2025FIFA World Cup 26™ UEFA QualifiersPath C – Semi-final26 March 2026Slovakia3Kosovo426 March 2026FIFA World Cup 26™ UEFA QualifiersPath C – Final31 March 2026Kosovo0Türkiye131 March 2026,CzechiaKosovo31 May14:00,1318.83
79,Oman,Friendly 202518 November 2025Oman0Côte d'Ivoire218 November 2025FIFA Arab Cup Qatar 2025™Play-off26 November 2025OmanWon 4 - 1 On Penalties0(4)Somalia0(1)26 November 2025FIFA Arab Cup Qatar 2025™Group B02 December 2025Saudi Arabia2Oman102 December 2025FIFA Arab Cup Qatar 2025™Group B05 December 2025Oman0Morocco005 December 2025FIFA Arab Cup Qatar 2025™Group B08 December 2025Oman2Comoros108 December 2025,IndonesiaOman05 Jun13:00,1313.46
80,Guinea,FIFA World Cup 26™ CAF QualifiersGroup G14 October 2025Guinea2Botswana214 October 2025Friendly 202515 November 2025Guinea2Liberia015 November 2025Friendly 202518 November 2025Guinea1Niger118 November 2025Friendly 202627 March 2026Togo2Guinea227 March 2026Friendly 202631 March 2026Guinea0Benin131 March 2026,Northern IrelandGuinea04 Jun16:00,1300.01
81,Montenegro,Friendly 202513 October 2025Montenegro2Liechtenstein113 October 2025FIFA World Cup 26™ UEFA QualifiersGroup L14 November 2025Gibraltar1Montenegro214 November 2025FIFA World Cup 26™ UEFA QualifiersGroup L17 November 2025Montenegro2Croatia317 November 2025Friendly 202627 March 2026Montenegro2Andorra027 March 2026Friendly 202631 March 2026Montenegro2Slovenia331 March 2026,BulgariaMontenegro01 Jun16:00,1295.52
82,Curaçao,FIFA World Cup 26™ Concacaf QualifiersGroup B14 October 2025Curaçao1Trinidad and Tobago114 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup B14 November 2025Bermuda0Curaçao714 November 2025FIFA World Cup 26™ Concacaf QualifiersGroup B19 November 2025Jamaica0Curaçao019 November 2025FIFA Series 2026™ AustraliaPre-arranged fixture27 March 2026China PR2Curaçao027 March 2026FIFA Series 2026™ AustraliaPre-arranged fixture31 March 2026Australia5Curaçao131 March 2026,ScotlandCuraçao30 May12:00,1294.65
83,Haiti,FIFA World Cup 26™ Concacaf QualifiersGroup C14 October 2025Honduras3Haiti014 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup C14 November 2025Haiti1Costa Rica014 November 2025FIFA World Cup 26™ Concacaf QualifiersGroup C19 November 2025Haiti2Nicaragua019 November 2025Friendly 202629 March 2026Haiti0Tunisia129 March 2026Friendly 202631 March 2026Haiti1Iceland131 March 2026,HaitiNew Zealand02 Jun23:30,1291.71
84,Syria,FIFA Arab Cup Qatar 2025™Group A01 December 2025Tunisia0Syria101 December 2025FIFA Arab Cup Qatar 2025™Group A04 December 2025Syria1Qatar104 December 2025FIFA Arab Cup Qatar 2025™Group A07 December 2025Syria0Palestine007 December 2025FIFA Arab Cup Qatar 2025™Quarter-final11 December 2025Morocco1Syria011 December 2025Asian Nations Cup 2027 Prel. Comp.Group E31 March 2026Syria5Afghanistan131 March 2026,BahrainSyria09 Jun,1288.56
85,New Zealand,Friendly 202514 October 2025Norway1New Zealand114 October 2025Friendly 202516 November 2025Colombia2New Zealand116 November 2025Friendly 202519 November 2025Ecuador2New Zealand019 November 2025FIFA Series 2026™ New ZealandPre-arranged fixture27 March 2026New Zealand0Finland227 March 2026FIFA Series 2026™ New ZealandPre-arranged fixture30 March 2026New Zealand4Chile130 March 2026,HaitiNew Zealand02 Jun23:30,1281.57
86,Bulgaria,FIFA World Cup 26™ UEFA QualifiersGroup E14 October 2025Spain4Bulgaria014 October 2025FIFA World Cup 26™ UEFA QualifiersGroup E15 November 2025Türkiye2Bulgaria015 November 2025FIFA World Cup 26™ UEFA QualifiersGroup E18 November 2025Bulgaria2Georgia118 November 2025FIFA Series 2026™ IndonesiaSemi-final27 March 2026Solomon Islands2Bulgaria1027 March 2026FIFA Series 2026™ IndonesiaFinal30 March 2026Indonesia0Bulgaria130 March 2026,BulgariaMontenegro01 Jun16:00,1278.90
87,Gabon,Africa Cup of Nations 2025Group F24 December 2025Cameroon1Gabon024 December 2025Africa Cup of Nations 2025Group F28 December 2025Gabon2Mozambique328 December 2025Africa Cup of Nations 2025Group F31 December 2025Gabon2Côte d'Ivoire331 December 2025FIFA Series 2026™ UzbekistanSemi-final27 March 2026Uzbekistan3Gabon127 March 2026FIFA Series 2026™ UzbekistanSemi-final30 March 2026Trinidad and Tobago2Gabon230 March 2026,,1272.51
88,Uganda,Friendly 202514 November 2025Uganda2Chad114 November 2025Friendly 202518 November 2025Morocco4Uganda018 November 2025Africa Cup of Nations 2025Group C23 December 2025Tunisia3Uganda123 December 2025Africa Cup of Nations 2025Group C27 December 2025Uganda1Tanzania127 December 2025Africa Cup of Nations 2025Group C30 December 2025Uganda1Nigeria330 December 2025,,1264.09
89,Angola,Friendly 202514 November 2025Angola0Argentina214 November 2025Friendly 202518 November 2025Angola3Zambia218 November 2025Africa Cup of Nations 2025Group B22 December 2025South Africa2Angola122 December 2025Africa Cup of Nations 2025Group B26 December 2025Angola1Zimbabwe126 December 2025Africa Cup of Nations 2025Group B29 December 2025Angola0Egypt029 December 2025,,1263.10
90,Benin,Africa Cup of Nations 2025Group D27 December 2025Benin1Botswana027 December 2025Africa Cup of Nations 2025Group D30 December 2025Benin0Senegal330 December 2025Africa Cup of Nations 2025Round of 1605 January 2026Egypt3Benin105 January 2026Friendly 202627 March 2026Benin1Liberia027 March 2026Friendly 202631 March 2026Guinea0Benin131 March 2026,,1258.98
91,Bahrain,Friendly 202517 November 2025Bahrain1Somalia217 November 2025FIFA Arab Cup Qatar 2025™Play-off26 November 2025Bahrain1Djibouti026 November 2025FIFA Arab Cup Qatar 2025™Group D03 December 2025Iraq2Bahrain103 December 2025FIFA Arab Cup Qatar 2025™Group D06 December 2025Bahrain1Algeria506 December 2025FIFA Arab Cup Qatar 2025™Group D09 December 2025Bahrain3Sudan109 December 2025,GeorgiaBahrain05 Jun,1258.53
92,Zambia,Friendly 202516 December 2025Congo DR2Zambia016 December 2025Africa Cup of Nations 2025Group A22 December 2025Mali1Zambia122 December 2025Africa Cup of Nations 2025Group A26 December 2025Zambia0Comoros026 December 2025Africa Cup of Nations 2025Group A29 December 2025Zambia0Morocco329 December 2025Friendly 202631 March 2026Argentina5Zambia031 March 2026,,1255.82
93,Thailand,Asian Nations Cup 2027 Prel. Comp.Group D09 October 2025Thailand2Chinese Taipei009 October 2025Asian Nations Cup 2027 Prel. Comp.Group D14 October 2025Chinese Taipei1Thailand614 October 2025Friendly 202513 November 2025Thailand3Singapore213 November 2025Asian Nations Cup 2027 Prel. Comp.Group D18 November 2025Sri Lanka0Thailand418 November 2025Asian Nations Cup 2027 Prel. Comp.Group D31 March 2026Thailand2Turkmenistan131 March 2026,ThailandKuwait05 Jun,1252.14
94,China PR,East Asian Football Federation Championship 2025Matches07 July 2025Korea Republic3China PR007 July 2025East Asian Football Federation Championship 2025Matches12 July 2025Japan2China PR012 July 2025East Asian Football Federation Championship 2025Matches15 July 2025China PR1Hong Kong015 July 2025FIFA Series 2026™ AustraliaPre-arranged fixture27 March 2026China PR2Curaçao027 March 2026FIFA Series 2026™ AustraliaPre-arranged fixture31 March 2026Cameroon2China PR031 March 2026,SingaporeChina PR05 Jun11:30,1251.60
95,Palestine,FIFA Arab Cup Qatar 2025™Play-off25 November 2025PalestineWon 4 - 3 On Penalties0(4)Libya0(3)25 November 2025FIFA Arab Cup Qatar 2025™Group A01 December 2025Qatar0Palestine101 December 2025FIFA Arab Cup Qatar 2025™Group A04 December 2025Palestine2Tunisia204 December 2025FIFA Arab Cup Qatar 2025™Group A07 December 2025Syria0Palestine007 December 2025FIFA Arab Cup Qatar 2025™Quarter-final11 December 2025Palestine1Saudi Arabia211 December 2025,,1244.73
96,Guatemala,FIFA World Cup 26™ Concacaf QualifiersGroup A10 October 2025Suriname1Guatemala110 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup A15 October 2025El Salvador0Guatemala115 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup A14 November 2025Guatemala2Panama314 November 2025FIFA World Cup 26™ Concacaf QualifiersGroup A19 November 2025Guatemala3Suriname119 November 2025Friendly 202627 March 2026Algeria7Guatemala027 March 2026,GuatemalaCzechia05 Jun01:00,1243.47
97,Belarus,FIFA World Cup 26™ UEFA QualifiersGroup C12 October 2025Scotland2Belarus112 October 2025FIFA World Cup 26™ UEFA QualifiersGroup C15 November 2025Denmark2Belarus215 November 2025FIFA World Cup 26™ UEFA QualifiersGroup C18 November 2025Belarus0Greece018 November 2025Friendly 202626 March 2026Cyprus0Belarus126 March 2026Friendly 202629 March 2026Armenia1Belarus229 March 2026,,1235.82
98,Luxembourg,FIFA World Cup 26™ UEFA QualifiersGroup A13 October 2025Slovakia2Luxembourg013 October 2025FIFA World Cup 26™ UEFA QualifiersGroup A14 November 2025Luxembourg0Germany214 November 2025FIFA World Cup 26™ UEFA QualifiersGroup A17 November 2025Northern Ireland1Luxembourg017 November 2025UEFA Nations League 2024/25League C vs League D26 March 2026Malta0Luxembourg226 March 2026UEFA Nations League 2024/25League C vs League D31 March 2026Luxembourg3Malta031 March 2026,LuxembourgItaly03 Jun18:45,1227.77
99,Vietnam,Asian Nations Cup 2027 Prel. Comp.Group F09 October 2025Vietnam3Nepal109 October 2025Asian Nations Cup 2027 Prel. Comp.Group F14 October 2025Nepal0Vietnam114 October 2025Asian Nations Cup 2027 Prel. Comp.Group F19 November 2025Laos0Vietnam219 November 2025Friendly 202626 March 2026Vietnam3Bangladesh026 March 2026Asian Nations Cup 2027 Prel. Comp.Group F31 March 2026Vietnam3Malaysia131 March 2026,,1225.68
100,El Salvador,FIFA World Cup 26™ Concacaf QualifiersGroup A11 October 2025El Salvador0Panama111 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup A15 October 2025El Salvador0Guatemala115 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup A13 November 2025Suriname4El Salvador013 November 2025FIFA World Cup 26™ Concacaf QualifiersGroup A19 November 2025Panama3El Salvador019 November 2025CONCACAF Series 2025/26Group A27 March 2026Dominican Republic2El Salvador227 March 2026,,1225.26
101,Mozambique,Friendly 202517 November 2025Chad2Mozambique217 November 2025Africa Cup of Nations 2025Group F24 December 2025Côte d'Ivoire1Mozambique024 December 2025Africa Cup of Nations 2025Group F28 December 2025Gabon2Mozambique328 December 2025Africa Cup of Nations 2025Group F31 December 2025Mozambique1Cameroon231 December 2025Africa Cup of Nations 2025Round of 1605 January 2026Nigeria4Mozambique005 January 2026,IndonesiaMozambique09 Jun13:00,1224.31
102,Trinidad and Tobago,FIFA World Cup 26™ Concacaf QualifiersGroup B14 November 2025Trinidad and Tobago1Jamaica114 November 2025FIFA World Cup 26™ Concacaf QualifiersGroup B19 November 2025Trinidad and Tobago2Bermuda219 November 2025Friendly 202615 March 2026Bolivia3Trinidad and Tobago015 March 2026FIFA Series 2026™ UzbekistanSemi-final27 March 2026Venezuela4Trinidad and Tobago127 March 2026FIFA Series 2026™ UzbekistanSemi-final30 March 2026Trinidad and Tobago2Gabon230 March 2026,Korea RepublicTrinidad and Tobago30 May16:00,1222.94
103,Tajikistan,CAFA Nations Cup 2025Group B04 September 2025Tajikistan2IR Iran204 September 2025Asian Nations Cup 2027 Prel. Comp.Group A09 October 2025Tajikistan2Maldives009 October 2025Asian Nations Cup 2027 Prel. Comp.Group A14 October 2025Maldives0Tajikistan314 October 2025Asian Nations Cup 2027 Prel. Comp.Group A18 November 2025Timor-Leste0Tajikistan518 November 2025Asian Nations Cup 2027 Prel. Comp.Group A31 March 2026Tajikistan1Philippines131 March 2026,TajikistanIndia05 Jun15:00,1221.78
104,Madagascar,FIFA World Cup 26™ CAF QualifiersGroup I08 October 2025Comoros1Madagascar208 October 2025FIFA World Cup 26™ CAF QualifiersGroup I12 October 2025Mali4Madagascar112 October 2025Friendly 202517 November 2025Equatorial Guinea0Madagascar217 November 2025Friendly 202628 March 2026Kyrgyz Republic2Madagascar528 March 2026Friendly 202631 March 2026Equatorial Guinea1Madagascar131 March 2026,,1203.76
105,Equatorial Guinea,Africa Cup of Nations 2025Group E24 December 2025Burkina Faso2Equatorial Guinea124 December 2025Africa Cup of Nations 2025Group E28 December 2025Equatorial Guinea0Sudan128 December 2025Africa Cup of Nations 2025Group E31 December 2025Equatorial Guinea1Algeria331 December 2025Friendly 202625 March 2026Kyrgyz Republic0Equatorial Guinea125 March 2026Friendly 202631 March 2026Equatorial Guinea1Madagascar131 March 2026,,1195.20
106,Armenia,FIFA World Cup 26™ UEFA QualifiersGroup F11 October 2025Hungary2Armenia011 October 2025FIFA World Cup 26™ UEFA QualifiersGroup F14 October 2025Republic of Ireland1Armenia014 October 2025FIFA World Cup 26™ UEFA QualifiersGroup F13 November 2025Armenia0Hungary113 November 2025FIFA World Cup 26™ UEFA QualifiersGroup F16 November 2025Portugal9Armenia116 November 2025Friendly 202629 March 2026Armenia1Belarus229 March 2026,ArmeniaKazakhstan06 Jun14:00,1191.42
107,Kyrgyz Republic,CAFA Nations Cup 2025Group A30 August 2025Kyrgyz Republic1Turkmenistan130 August 2025CAFA Nations Cup 2025Group A02 September 2025Oman2Kyrgyz Republic102 September 2025CAFA Nations Cup 2025Group A05 September 2025Uzbekistan4Kyrgyz Republic005 September 2025Friendly 202625 March 2026Kyrgyz Republic0Equatorial Guinea125 March 2026Friendly 202628 March 2026Kyrgyz Republic2Madagascar528 March 2026,,1191.14
108,Lebanon,Friendly 202508 September 2025Indonesia0Lebanon008 September 2025Asian Nations Cup 2027 Prel. Comp.Group B09 October 2025Lebanon2Bhutan009 October 2025Asian Nations Cup 2027 Prel. Comp.Group B14 October 2025Bhutan0Lebanon414 October 2025Asian Nations Cup 2027 Prel. Comp.Group B18 November 2025Brunei0Lebanon318 November 2025FIFA Arab Cup Qatar 2025™Play-off26 November 2025Sudan2Lebanon126 November 2025,LebanonYemen04 Jun16:00,1187.96
109,Comoros,Africa Cup of Nations 2025Group A21 December 2025Morocco2Comoros021 December 2025Africa Cup of Nations 2025Group A26 December 2025Zambia0Comoros026 December 2025Africa Cup of Nations 2025Group A29 December 2025Comoros0Mali029 December 2025FIFA Series 2026™ KazakhstanSemi-final28 March 2026Namibia0Comoros028 March 2026FIFA Series 2026™ KazakhstanSemi-final31 March 2026Kazakhstan1Comoros031 March 2026,,1187.91
110,Kazakhstan,FIFA World Cup 26™ UEFA QualifiersGroup J13 October 2025North Macedonia1Kazakhstan113 October 2025FIFA World Cup 26™ UEFA QualifiersGroup J15 November 2025Kazakhstan1Belgium115 November 2025Friendly 202518 November 2025Faroe Islands1Kazakhstan018 November 2025FIFA Series 2026™ KazakhstanSemi-final25 March 2026Kazakhstan2Namibia025 March 2026FIFA Series 2026™ KazakhstanSemi-final31 March 2026Kazakhstan1Comoros031 March 2026,ArmeniaKazakhstan06 Jun14:00,1182.96
111,Kenya,FIFA World Cup 26™ CAF QualifiersGroup F14 October 2025Côte d'Ivoire3Kenya014 October 2025Friendly 202514 November 2025Equatorial Guinea1Kenya014 November 2025Friendly 202518 November 2025Senegal8Kenya018 November 2025FIFA Series 2026™ RwandaSemi-final27 March 2026Kenya1(4)EstoniaWon 5 - 4 On Penalties1(5)27 March 2026FIFA Series 2026™ RwandaMatch for third place30 March 2026Grenada0Kenya330 March 2026,,1182.23
112,Libya,FIFA World Cup 26™ CAF QualifiersGroup D13 October 2025Mauritius0Libya013 October 2025Friendly 202515 November 2025Libya1Mauritania015 November 2025FIFA Arab Cup Qatar 2025™Play-off25 November 2025PalestineWon 4 - 3 On Penalties0(4)Libya0(3)25 November 2025Friendly 202627 March 2026Libya0Niger027 March 2026Friendly 202631 March 2026Liberia2Libya231 March 2026,,1182.08
113,Tanzania,Africa Cup of Nations 2025Group C27 December 2025Uganda1Tanzania127 December 2025Africa Cup of Nations 2025Group C30 December 2025Tanzania1Tunisia130 December 2025Africa Cup of Nations 2025Round of 1604 January 2026Morocco1Tanzania004 January 2026FIFA Series 2026™ RwandaSemi-final Group B26 March 2026Tanzania0Liechtenstein126 March 2026FIFA Series 2026™ RwandaMatch for third place Group B29 March 2026Macau0Tanzania629 March 2026,,1180.27
114,Niger,FIFA World Cup 26™ CAF QualifiersGroup E12 October 2025Zambia0Niger112 October 2025Friendly 202514 November 2025Burkina Faso3Niger214 November 2025Friendly 202518 November 2025Guinea1Niger118 November 2025Friendly 202627 March 2026Libya0Niger027 March 2026Friendly 202631 March 2026Niger0Togo131 March 2026,,1179.66
115,Mauritania,FIFA World Cup 26™ CAF QualifiersGroup B10 October 2025Sudan0Mauritania010 October 2025FIFA World Cup 26™ CAF QualifiersGroup B14 October 2025Senegal4Mauritania014 October 2025Friendly 202515 November 2025Libya1Mauritania015 November 2025FIFA Arab Cup Qatar 2025™Play-off25 November 2025Mauritania0Kuwait225 November 2025Friendly 202627 March 2026Argentina2Mauritania127 March 2026,,1170.72
116,The Gambia,FIFA World Cup 26™ CAF QualifiersGroup F09 September 2025The Gambia2Burundi009 September 2025FIFA World Cup 26™ CAF QualifiersGroup F10 October 2025The Gambia3Gabon410 October 2025FIFA World Cup 26™ CAF QualifiersGroup F14 October 2025Seychelles0The Gambia714 October 2025Friendly 202518 November 2025Kuwait2The Gambia218 November 2025Friendly 202631 March 2026Senegal3The Gambia131 March 2026,IR IranThe Gambia29 May15:30,1160.38
117,Sudan,FIFA Arab Cup Qatar 2025™Group D09 December 2025Bahrain3Sudan109 December 2025Africa Cup of Nations 2025Group E24 December 2025Algeria3Sudan024 December 2025Africa Cup of Nations 2025Group E28 December 2025Equatorial Guinea0Sudan128 December 2025Africa Cup of Nations 2025Group E31 December 2025Sudan0Burkina Faso231 December 2025Africa Cup of Nations 2025Round of 1603 January 2026Senegal3Sudan103 January 2026,,1157.22
118,Korea DPR,Friendly 202517 February 2025Korea DPR2Kazakhstan017 February 2025FIFA World Cup 26™ AFC QualifiersGroup A20 March 2025Qatar5Korea DPR120 March 2025FIFA World Cup 26™ AFC QualifiersGroup A25 March 2025Korea DPR1United Arab Emirates225 March 2025FIFA World Cup 26™ AFC QualifiersGroup A05 June 2025Korea DPR2Kyrgyz Republic205 June 2025FIFA World Cup 26™ AFC QualifiersGroup A10 June 2025IR Iran3Korea DPR010 June 2025,,1151.05
119,Sierra Leone,FIFA World Cup 26™ CAF QualifiersGroup A04 September 2025Guinea-Bissau1Sierra Leone104 September 2025FIFA World Cup 26™ CAF QualifiersGroup A09 September 2025Sierra Leone2Ethiopia009 September 2025FIFA World Cup 26™ CAF QualifiersGroup A08 October 2025Sierra Leone0Burkina Faso108 October 2025FIFA World Cup 26™ CAF QualifiersGroup A12 October 2025Djibouti1Sierra Leone212 October 2025FIFA Series 2026™ AzerbaijanSemi-final30 March 2026Azerbaijan1Sierra Leone130 March 2026,,1148.98
120,Namibia,FIFA World Cup 26™ CAF QualifiersGroup H13 October 2025Tunisia3Namibia013 October 2025Friendly 202514 November 2025Comoros1Namibia014 November 2025Friendly 202517 November 2025Comoros4Namibia017 November 2025FIFA Series 2026™ KazakhstanSemi-final25 March 2026Kazakhstan2Namibia025 March 2026FIFA Series 2026™ KazakhstanSemi-final28 March 2026Namibia0Comoros028 March 2026,,1148.84
121,Togo,FIFA World Cup 26™ CAF QualifiersGroup B09 September 2025Togo1Sudan009 September 2025FIFA World Cup 26™ CAF QualifiersGroup B10 October 2025Togo0Congo DR110 October 2025FIFA World Cup 26™ CAF QualifiersGroup B13 October 2025South Sudan0Togo013 October 2025Friendly 202627 March 2026Togo2Guinea227 March 2026Friendly 202631 March 2026Niger0Togo131 March 2026,,1147.31
122,Indonesia,Friendly 202508 September 2025Indonesia0Lebanon008 September 2025FIFA World Cup 26™ AFC QualifiersGroup B08 October 2025Indonesia2Saudi Arabia308 October 2025FIFA World Cup 26™ AFC QualifiersGroup B11 October 2025Iraq1Indonesia011 October 2025FIFA Series 2026™ IndonesiaSemi-final27 March 2026Indonesia4St. Kitts and Nevis027 March 2026FIFA Series 2026™ IndonesiaFinal30 March 2026Indonesia0Bulgaria130 March 2026,IndonesiaOman05 Jun13:00,1144.88
123,Faroe Islands,FIFA World Cup 26™ UEFA QualifiersGroup L09 October 2025Faroe Islands4Montenegro009 October 2025FIFA World Cup 26™ UEFA QualifiersGroup L12 October 2025Faroe Islands2Czechia112 October 2025FIFA World Cup 26™ UEFA QualifiersGroup L14 November 2025Croatia3Faroe Islands114 November 2025Friendly 202518 November 2025Faroe Islands1Kazakhstan018 November 2025Friendly 202628 March 2026San Marino1Faroe Islands228 March 2026,EstoniaFaroe Islands06 Jun15:00,1137.14
